linha,coluna,rotulo_coluna,tipo_linha,codigo_cnae,descricao,status_atualizacao,valor_origem,valor_gerado,diferenca,variacao_pct,resultado,motivo
4,D,D — EMPREGOS / Estoque 2022,total_geral,,TOTAL DE TODAS AS CNAES,atualizado,52790864,52790864,0.0,0.0,identico,
4,E,E — Estoque 2023,total_geral,,TOTAL DE TODAS AS CNAES,atualizado,55818007,55316614,-501393.0,-0.8983,divergente,
4,F,F — Estoque 2024,total_geral,,TOTAL DE TODAS AS CNAES,atualizado,57800651,57132156,-668495.0,-1.1566,divergente,
4,G,G — Estoque 2025,total_geral,,TOTAL DE TODAS AS CNAES,formula_preservada,59517251,58403704,-1113547.0,-1.871,divergente,estoque projetado = coluna F + coluna J
4,H,H — Saldo / 2023 (jan-dez),total_geral,,TOTAL DE TODAS AS CNAES,atualizado,1454972,1455879,907.0,0.0623,divergente,
4,I,I — 2024 (jan-dez),total_geral,,TOTAL DE TODAS AS CNAES,atualizado,1678468,1679628,1160.0,0.0691,divergente,
4,J,J — 2025 (jan-dez),total_geral,,TOTAL DE TODAS AS CNAES,atualizado,1716600,1271548,-445052.0,-25.9264,divergente,
4,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
4,L,L — Empresa de pequeno porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
4,M,M — Empresa de médio porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
4,N,N — Grande empresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
4,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,8560543,8560543,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
4,P,P — Empresa de pequeno porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,527757,527757,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
4,Q,Q — Empresa de médio porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,59706,59706,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
4,R,R — Grande empresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,37529,37529,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
4,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,9625497,9625497,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
4,T,T — Empresa de pequeno porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,543945,543945,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
4,U,U — Empresa de médio porte,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,62625,62625,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
4,V,V — Grande empresa,total_geral,,TOTAL DE TODAS AS CNAES,indisponivel,39498,39498,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
5,D,D — EMPREGOS / Estoque 2022,total_lista,,TOTAL CANAES ABAIXO,formula_preservada,10810747,10810747.0,0.0,0.0,identico,=SUM(...) recalculado pelo Excel
5,E,E — Estoque 2023,total_lista,,TOTAL CANAES ABAIXO,formula_preservada,10842619,10756637.0,-85982.0,-0.793,divergente,=SUM(...) recalculado pelo Excel
5,F,F — Estoque 2024,total_lista,,TOTAL CANAES ABAIXO,formula_preservada,11061803,10951584.0,-110219.0,-0.9964,divergente,=SUM(...) recalculado pelo Excel
5,G,G — Estoque 2025,total_lista,,TOTAL CANAES ABAIXO,formula_preservada,11177422,11067310.0,-110112.0,-0.9851,divergente,=SUM(...) recalculado pelo Excel
5,H,H — Saldo / 2023 (jan-dez),total_lista,,TOTAL CANAES ABAIXO,formula_preservada,-27835,-27820.0,15.0,0.0539,divergente,=SUM(...) recalculado pelo Excel
5,I,I — 2024 (jan-dez),total_lista,,TOTAL CANAES ABAIXO,formula_preservada,85571,85707.0,136.0,0.1589,divergente,=SUM(...) recalculado pelo Excel
5,J,J — 2025 (jan-dez),total_lista,,TOTAL CANAES ABAIXO,formula_preservada,15930,15712.0,-218.0,-1.3685,divergente,=SUM(...) recalculado pelo Excel
6,D,D — EMPREGOS / Estoque 2022,grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,526866,526866,0.0,0.0,identico,
6,E,E — Estoque 2023,grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,504718,496512,-8206.0,-1.6259,divergente,
6,F,F — Estoque 2024,grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,507545,496527,-11018.0,-2.1708,divergente,
6,G,G — Estoque 2025,grupo,141,Confecção de artigos do vestuário e acessórios,formula_preservada,504592,493579,-11013.0,-2.1826,divergente,estoque projetado = coluna F + coluna J
6,H,H — Saldo / 2023 (jan-dez),grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,-18090,-18092,-2.0,-0.0111,divergente,
6,I,I — 2024 (jan-dez),grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,1084,1091,7.0,0.6458,divergente,
6,J,J — 2025 (jan-dez),grupo,141,Confecção de artigos do vestuário e acessórios,atualizado,-2953,-2948,5.0,0.1693,divergente,
6,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
6,L,L — Empresa de pequeno porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
6,M,M — Empresa de médio porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
6,N,N — Grande empresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
6,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,72754,72754,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
6,P,P — Empresa de pequeno porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,5317,5317,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
6,Q,Q — Empresa de médio porte,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,515,515,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
6,R,R — Grande empresa,grupo,141,Confecção de artigos do vestuário e acessórios,indisponivel,40,40,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
